Name,Position,Attack,Defense,Passing,Stamina,Consistency,Club,Matches_Last_5Y,Goals_Last_5Y,Assists_Last_5Y,Injury_Risk,Fitness_Percent
Mohamed El Shenawy,GK,10,96,72,88,9.7,Al Ahly,76,0,0,0,98
Ahmed El Shenawy,GK,10,84,68,82,8.0,Pyramids,30,0,0,2,95
Mohamed Sobhi,GK,10,82,68,80,7.8,Zamalek,6,0,0,1,100
Mostafa Shobeir,GK,10,80,65,78,7.5,Al Ahly,4,0,0,3,90
Ramy Rabia,DF,58,91,73,84,8.6,Al Ain,43,5,2,5,82
Yasser Ibrahim,DF,63,92,76,83,8.8,Al Ahly,19,2,1,1,97
Mohamed Hany,DF,73,86,80,86,8.6,Al Ahly,39,0,8,9,75
Ahmed Fatouh,DF,71,85,78,85,8.5,Zamalek,38,1,6,2,95
Mohamed Hamdi,DF,75,87,81,88,8.8,Pyramids,40,1,7,3,92
Hossam Abdelmaguid,DF,65,88,75,85,8.3,Zamalek,13,0,3,4,88
Mohamed Ismail,DF,59,85,69,80,7.7,Zamalek,6,0,0,5,85
Khaled Sobhi,DF,62,86,70,84,7.8,Al Masry,11,0,2,2,95
Ahmed Eid,DF,60,85,69,82,7.7,Al Masry,10,0,2,3,90
Marwan Ateya,MF,73,89,88,94,9.3,Al Ahly,37,1,9,1,97
Emam Ashour,MF,92,77,96,92,9.6,Al Ahly,26,1,17,2,95
Hamdy Fathy,MF,75,85,89,90,8.9,Al-Wakrah,61,3,13,4,90
Mohanad Lasheen,MF,71,87,83,88,8.5,Pyramids,23,0,7,3,93
Mohamed Shehata,MF,77,81,87,86,8.3,Zamalek,14,0,9,5,86
Mahmoud Saber,MF,73,78,85,85,8.1,ZED,16,1,6,4,88
Trezeguet,FW,89,59,83,86,8.9,Al Ahly,93,24,13,3,93
Zizo,FW,91,63,91,90,9.0,Al Ahly,61,5,18,2,96
Ibrahim Adel,FW,87,58,79,86,8.4,Al Jazira,24,4,10,3,94
Mohamed Salah,FW,99,53,95,88,10.0,Liverpool,120,71,24,0,97
Omar Marmoush,FW,97,57,89,94,9.8,Manchester City,50,12,19,1,98
Mostafa Mohamed,FW,93,55,81,88,9.1,Nantes,61,16,11,2,96
Mostafa Fathi,FW,85,61,79,83,8.3,Pyramids,44,4,8,4,90
Osama Faisal,FW,81,53,73,81,7.9,National Bank of Egypt,21,1,5,5,83
Salah Mohsen,FW,82,56,74,80,7.9,Al Masry,14,2,3,6,80
