Name,Position,Attack,Defense,Passing,Stamina,Consistency,Club,Matches_Last_5Y,Goals_Last_5Y,Assists_Last_5Y,FIFA_Ranking_Contribution,Injury_Risk,Fitness_Percent
Rais M'Bolhi,GK,12,89,72,87,9.0,Al Ettifaq,48,0,0,8.7,0,100
Anthony Mandrea,GK,10,86,68,84,8.2,Auxerre,28,0,0,8.0,0,100
Youcef Atal,DF,80,82,84,92,8.8,Nice,45,7,11,9.0,0,100
Ramy Bensebaini,DF,77,88,86,94,9.2,Borussia Dortmund,52,10,13,9.2,0,100
Aissa Mandi,DF,62,90,78,90,9.0,Lille,54,6,5,8.8,0,100
Rayan Ait-Nouri,DF,75,84,82,90,8.6,Wolves,42,6,9,8.7,0,100
Mohamed Amine Tougai,DF,60,86,74,88,8.4,Hertha Berlin,38,4,4,8.2,0,100
Ismael Bennacer,MF,77,84,92,92,9.4,AC Milan,54,7,14,9.4,0,100
Houssem Aouar,MF,90,72,94,90,9.0,Roma,50,14,17,9.2,0,100
Nabil Bentaleb,MF,72,86,88,94,8.8,Schalke,44,6,12,8.6,0,100
Ramiz Zerrouki,MF,74,82,86,92,8.6,Feyenoord,42,5,10,8.4,0,100
Youcef Belaili,FW,92,50,88,86,9.0,Brest,44,18,16,9.0,0,100
Riyad Mahrez,FW,96,52,94,88,9.6,Al Ahli,56,28,22,9.7,0,100
Baghdad Bounedjah,FW,90,50,80,90,9.0,Al Sadd,52,25,12,9.0,0,100
Islam Slimani,FW,88,52,78,86,8.8,Brest,48,21,10,8.6,0,100
Said Benrahma,FW,92,54,90,88,9.0,Lyon,50,17,18,9.2,0,100
Amine Gouiri,FW,88,50,84,86,8.6,Rennes,44,15,13,8.6,0,100
Fares Chaïbi,FW,86,48,82,85,8.4,Frankfurt,38,13,12,8.4,0,100
Ibrahim Maza,FW,84,46,80,84,8.2,Brighton,32,11,10,8.2,0,100
