Name,Position,Attack,Defense,Passing,Stamina,Consistency,Club,Matches_Last_5Y,Goals_Last_5Y,Assists_Last_5Y,FIFA_Ranking_Contribution
Andre Onana,GK,12,92,76,90,9.4,Manchester United,55,0,0,9.4
Fabrice Ondoa,GK,10,88,70,86,8.4,Nantes,32,0,0,8.2
Nouhou Tolo,DF,74,84,80,94,8.8,Seattle Sounders,48,5,10,8.8
Collins Fai,DF,70,86,78,90,8.6,Standard Liege,45,4,7,8.4
Jean-Charles Castelletto,DF,62,90,76,88,8.8,Cardiff City,48,6,4,8.6
Oumar Gonzalez,DF,60,88,74,86,8.4,Al Ittihad,42,5,3,8.2
Enzo Ebosse,DF,68,82,80,88,8.4,Udinese,38,4,8,8.4
Andre-Frank Zambo Anguissa,MF,80,88,90,96,9.2,Napoli,56,9,13,9.4
Olivier Kemen,MF,76,84,86,92,8.8,Young Boys,48,7,11,8.6
Frank Magri,MF,78,82,84,90,8.6,Hearts,42,8,9,8.4
Georges-Kevin Nkoudou,FW,86,54,84,88,8.6,Besiktas,45,13,15,8.6
Karl Toko Ekambi,FW,92,52,86,90,9.0,Al Ittihad,52,21,16,9.0
Vincent Aboubakar,FW,94,50,80,88,9.2,Besiktas,54,26,14,9.2
Eric Maxim Choupo-Moting,FW,92,52,84,86,9.0,Bayern Munich,58,24,17,9.2
Bryan Mbeumo,FW,90,54,88,92,9.0,Brentford,50,22,18,9.0
Christian Bassogog,FW,88,50,82,90,8.6,Shanghai Shenhua,46,16,13,8.4
Georges Mandjeck,MF,74,86,82,94,8.6,Al Taawon,45,6,8,8.2
Clinton Njie,FW,86,48,80,88,8.4,Dinamo Moscow,48,14,12,8.2
