Name,Position,Attack,Defense,Passing,Stamina,Consistency,Club,Matches_Last_5Y,Goals_Last_5Y,Assists_Last_5Y,FIFA_Ranking_Contribution
Alexandre Oukidja,GK,10,85,68,84,8.2,Metz,35,0,0,8.0
Djigui Diarra,GK,10,82,65,80,7.8,Young Africans,28,0,0,7.5
Falaye Sacko,DF,68,82,75,88,8.2,Montpellier,40,3,7,8.0
Boubacar Kiki Kouyate,DF,52,88,70,85,8.5,Al Ahli,48,5,2,8.2
Massadio Haidara,DF,70,80,78,90,8.0,Brest,38,4,6,8.0
Kiki Kouyate,DF,55,86,72,84,8.4,Ferencvaros,45,6,3,8.2
Sikou Niakate,DF,58,84,70,86,7.8,Guingamp,32,3,2,7.6
Amadou Haidara,MF,78,80,88,94,8.8,RB Leipzig,46,8,12,8.8
Yves Bissouma,MF,82,82,86,92,9.0,Tottenham,50,9,10,9.0
Lassine Sinayoko,MF,85,68,82,88,8.4,Auxerre,35,10,9,8.2
Cheick Doucoure,MF,70,84,80,90,8.2,Crystal Palace,42,5,7,8.4
Kamory Doumbia,MF,80,70,84,86,8.0,Brest,30,7,8,7.8
Moussa Doumbia,FW,86,50,76,88,8.4,Reims,38,14,8,8.2
Ibrahima Kone,FW,88,48,74,86,8.6,Al Riyadh,42,18,7,8.4
El Bilal Toure,FW,85,52,80,90,8.4,Atalanta,35,12,10,8.5
Adama Traore,FW,84,46,76,86,8.2,Sheriff,40,11,9,7.8
Sekou Koita,FW,82,48,78,84,8.0,Red Bull Salzburg,36,10,8,7.9
