Name,Position,Attack,Defense,Passing,Stamina,Consistency,Club,Matches_Last_5Y,Goals_Last_5Y,Assists_Last_5Y,FIFA_Ranking_Contribution,Injury_Risk,Fitness_Percent
Yassine Bounou,GK,12,96,73,90,9.7,Al Hilal,57,0,0,9.7,1,97
Munir Mohamedi,GK,10,88,68,85,8.4,Al Wehda,22,0,0,8.0,0,100
Achraf Hakimi,DF,87,85,91,94,9.5,PSG,60,10,19,9.7,1,98
Noussair Mazraoui,DF,81,87,87,92,9.1,Manchester United,53,6,14,9.3,2,95
Romain Saiss,DF,57,93,77,86,9.0,Al Shabab,57,8,5,8.7,2,94
Nayef Aguerd,DF,61,91,75,88,8.9,West Ham,50,7,4,8.7,1,96
Achraf Dari,DF,55,89,73,85,8.5,Brest,43,5,3,8.3,2,94
Yahia Attiyat Allah,DF,75,81,79,88,8.3,Al Ahly Egypt,40,6,9,8.1,1,96
Sofyan Amrabat,MF,73,88,93,94,9.3,Fiorentina,57,6,12,9.3,2,95
Azzedine Ounahi,MF,85,78,91,90,8.9,Marseille,47,8,14,8.8,1,97
Bilal El Khannouss,MF,87,71,89,88,8.7,Leicester,39,10,13,8.5,2,94
Ismael Saibari,MF,91,68,87,86,8.5,PSV,37,13,15,8.3,1,96
Brahim Diaz,FW,95,53,95,86,9.5,Real Madrid,53,20,17,9.5,2,95
Youssef En-Nesyri,FW,93,51,77,88,9.0,Fenerbahce,59,31,12,9.2,1,97
Ayoub El Kaabi,FW,91,48,75,86,8.8,Olympiacos,49,28,9,8.8,2,94
Amine Adli,FW,89,55,83,85,8.7,Bayer Leverkusen,43,18,16,8.7,1,96
Zakaria Aboukhlal,FW,87,53,81,84,8.4,Toulouse,47,16,14,8.3,2,94
Ilias Akhomach,FW,83,51,79,83,8.1,Villarreal,33,12,11,7.9,3,92
Eliesse Ben Seghir,FW,85,49,81,84,8.3,Monaco,30,13,12,8.1,2,94
