Name,Position,Attack,Defense,Passing,Stamina,Consistency,Club,Matches_Last_5Y,Goals_Last_5Y,Assists_Last_5Y,FIFA_Ranking_Contribution,Injury_Risk,Fitness_Percent
Stanley Nwabali,GK,11,89,71,85,8.7,Chippa United,37,0,0,8.3,1,97
Francis Uzoho,GK,10,86,68,84,8.4,Omonia Nicosia,42,0,0,8.2,0,100
Ola Aina,DF,78,85,83,92,8.9,Nottingham Forest,57,7,14,9.1,1,96
Calvin Bassey,DF,71,91,81,90,9.1,Fulham,51,6,8,9.1,2,95
Semi Ajayi,DF,63,89,77,88,8.7,West Brom,53,8,5,8.5,1,96
William Troost-Ekong,DF,59,91,75,86,8.9,PAOK,59,9,4,8.7,2,94
Bright Osayi-Samuel,DF,81,83,79,90,8.7,Fenerbahce,49,7,13,8.7,1,96
Wilfred Ndidi,MF,75,93,87,94,9.3,Leicester,61,8,12,9.3,2,95
Frank Onyeka,MF,77,89,85,92,8.9,Brentford,53,7,11,8.9,1,96
Alex Iwobi,MF,88,75,91,90,9.1,Fulham,59,14,18,9.1,1,97
Joe Aribo,MF,85,79,89,92,8.9,Southampton,57,13,16,8.9,2,95
Raphael Onyedika,MF,81,85,87,90,8.9,Club Brugge,47,10,13,8.7,1,96
Samuel Chukwueze,FW,93,53,87,88,9.1,AC Milan,55,18,20,9.1,2,95
Victor Osimhen,FW,99,51,83,90,9.9,Napoli,57,39,16,10.0,1,97
Ademola Lookman,FW,95,55,89,88,9.3,Atalanta,53,27,19,9.3,1,98
Moses Simon,FW,91,57,85,90,8.9,Nantes,59,20,22,8.9,2,95
Kelechi Iheanacho,FW,89,51,81,87,8.7,Leicester,55,18,14,8.7,2,94
Paul Onuachu,FW,91,49,77,88,8.9,Trabzonspor,51,25,12,8.7,1,96
Terem Moffi,FW,87,49,79,88,8.5,Nice,47,16,12,8.5,2,94
