Name,Position,Attack,Defense,Passing,Stamina,Consistency,Club,Matches_Last_5Y,Goals_Last_5Y,Assists_Last_5Y,FIFA_Ranking_Contribution
Rais M'Bolhi,GK,12,89,72,87,9.0,Al Ettifaq,48,0,0,8.7
Mohamed Amine Tougai,DF,60,86,74,88,8.4,Hertha Berlin,38,4,4,8.2
Youcef Atal,DF,80,82,84,92,8.8,Nice,45,7,11,9.0
Rayan Ait-Nouri,DF,75,84,82,90,8.6,Wolves,42,6,9,8.7
Ramy Bensebaini,DF,77,88,86,94,9.2,Borussia Dortmund,52,10,13,9.2
Aissa Mandi,DF,62,90,78,90,9.0,Lille,54,6,5,8.8
Ismael Bennacer,MF,77,84,92,92,9.4,AC Milan,54,7,14,9.4
Houssem Aouar,MF,90,72,94,90,9.0,Roma,50,14,17,9.2
Nabil Bentaleb,MF,72,86,88,94,8.8,Schalke,44,6,12,8.6
Ramiz Zerrouki,MF,74,82,86,92,8.6,Feyenoord,42,5,10,8.4
Riyad Mahrez,FW,96,52,94,88,9.6,Al Ahli,56,28,22,9.7
