Name,Position,Attack,Defense,Passing,Stamina,Consistency,Club,Matches_Last_5Y,Goals_Last_5Y,Assists_Last_5Y,FIFA_Ranking_Contribution
Yahia Fofana,GK,12,91,74,89,9.2,Angers,42,0,0,9.0
Ghislain Konan,DF,72,84,80,90,8.6,Al Sadd,45,5,9,8.4
Odilon Kossounou,DF,66,92,80,90,9.2,Bayer Leverkusen,50,5,6,9.2
Evan Ndicka,DF,64,90,78,88,8.8,Roma,48,6,4,8.8
Seko Fofana,MF,84,82,90,94,9.2,Al Nassr,52,10,15,9.0
Hamed Traore,MF,88,70,92,88,8.8,Bournemouth,46,12,17,8.8
Franck Kessie,MF,82,88,90,96,9.4,Barcelona,58,11,14,9.4
Sebastien Haller,FW,96,50,82,90,9.4,Borussia Dortmund,52,28,14,9.4
Wilfried Zaha,FW,94,54,86,90,9.2,Galatasaray,56,24,18,9.2
Nicolas Pepe,FW,92,52,88,88,9.0,Arsenal/Trabzonspor,54,20,19,9.0
Amad Diallo,FW,90,52,90,90,9.0,Manchester United,42,16,14,8.8
