Name,Position,Attack,Defense,Passing,Stamina,Consistency,Club,Matches_Last_5Y,Goals_Last_5Y,Assists_Last_5Y,FIFA_Ranking_Contribution
Yahia Fofana,GK,12,91,74,89,9.2,Angers,42,0,0,9.0
Serge Aurier,DF,76,86,82,92,8.8,Villarreal,52,7,12,8.8
Odilon Kossounou,DF,66,92,80,90,9.2,Bayer Leverkusen,50,5,6,9.2
Ghislain Konan,DF,72,84,80,90,8.6,Al Sadd,45,5,9,8.4
Ibrahim Sangare,MF,80,86,88,94,9.0,Nottingham Forest,50,7,12,8.8
Hamed Traore,MF,88,70,92,88,8.8,Bournemouth,46,12,17,8.8
Seko Fofana,MF,84,82,90,94,9.2,Al Nassr,52,10,15,9.0
Jean Michael Seri,MF,76,84,92,92,9.0,Fulham,54,8,16,9.0
Franck Kessie,MF,82,88,90,96,9.4,Barcelona,58,11,14,9.4
Wilfried Zaha,FW,94,54,86,90,9.2,Galatasaray,56,24,18,9.2
Amad Diallo,FW,90,52,90,90,9.0,Manchester United,42,16,14,8.8
