Name,Position,Attack,Defense,Passing,Stamina,Consistency,Club,Matches_Last_5Y,Goals_Last_5Y,Assists_Last_5Y
Mohamed El Shenawy,GK,10,95,70,90,9.5,Al Ahly,71,0,0
Yasser Ibrahim,DF,62,90,74,84,8.6,Al Ahly,10,0,1
Mohamed Hamdi,DF,74,86,80,90,8.7,Pyramids,35,1,6
Hossam Abdelmaguid,DF,64,87,74,86,8.2,Zamalek,8,0,2
Mohamed Hany,DF,72,85,78,88,8.5,Al Ahly,34,0,7
Ramy Rabia,DF,58,90,72,85,8.5,Al Ain,38,4,2
Emam Ashour,MF,90,76,94,94,9.4,Al Ahly,21,0,15
Mohanad Lasheen,MF,70,86,82,90,8.4,Pyramids,18,0,6
Hamdy Fathy,MF,74,84,88,92,8.8,Al-Wakrah,56,3,12
Marwan Ateya,MF,72,88,87,96,9.2,Al Ahly,28,0,8
Omar Marmoush,FW,96,56,88,96,9.7,Manchester City,41,9,16
