Name,Position,Attack,Defense,Passing,Stamina,Consistency,Club,Matches_Last_5Y,Goals_Last_5Y,Assists_Last_5Y
Mohamed El Shenawy,GK,10,92,65,88,9.2,Al Ahly,45,0,0
Mahmoud Hamdy El Wensh,DF,72,76,70,84,7.5,Zamalek,30,3,4
Omar Kamal,DF,70,72,74,86,7.8,Future FC,32,4,5
Mohamed Abdelmonem,DF,58,90,78,88,9.0,Al Ahly,40,5,3
Emam Ashour,MF,85,72,88,90,8.8,Al Ahly,35,8,12
Zizo,MF,88,62,90,88,8.5,Al Ahly,40,10,15
Mostafa Fathi,MF,82,65,86,85,8.0,Pyramids,32,7,9
Mohamed Salah,FW,98,48,90,87,9.8,Liverpool,42,28,18
Omar Marmoush,FW,92,52,82,92,9.2,Eintracht Frankfurt,38,22,14
Mostafa Mohamed,FW,88,50,75,86,8.6,Nantes,40,18,8
Mahmoud Trezeguet,FW,85,55,78,85,8.2,Trabzonspor,35,12,10
