Name,Position,Attack,Defense,Passing,Stamina,Consistency,Club,Matches_Last_5Y,Goals_Last_5Y,Assists_Last_5Y
Mohamed El Shenawy,GK,10,92,65,88,9.2,Al Ahly,45,0,0
Ahmed Hegazy,DF,52,88,65,76,8.5,Al Ittihad,35,4,2
Mohamed Hany,DF,68,80,75,90,8.2,Al Ahly,42,3,6
Mohamed Abdelmonem,DF,58,90,78,88,9.0,Al Ahly,40,5,3
Yasser Ibrahim,DF,55,85,68,82,8.2,Al Ahly,28,3,1
Hamdi Fathi,MF,72,82,85,94,8.5,Al Ahly,45,5,10
Mohamed Elneny,MF,68,78,92,86,8.8,Arsenal,38,2,8
Marwan Attia,MF,62,88,82,95,8.8,Al Ahly,30,2,5
Mohamed Abdelfattah Malong,MF,65,85,80,92,8.2,Pyramids,28,3,6
Emam Ashour,MF,85,72,88,90,8.8,Al Ahly,35,8,12
Omar Marmoush,FW,92,52,82,92,9.2,Eintracht Frankfurt,38,22,14
