Name,Position,Attack,Defense,Passing,Stamina,Consistency,Club,Matches_Last_5Y,Goals_Last_5Y,Assists_Last_5Y
Mohamed El Shenawy,GK,10,92,65,88,9.2,Al Ahly,45,0,0
Mohamed Hany,DF,68,80,75,90,8.2,Al Ahly,42,3,6
Omar Kamal,DF,70,72,74,86,7.8,Future FC,32,4,5
Akram Tawfik,DF,62,82,72,85,7.8,Al Ahly,38,2,4
Zizo,MF,88,62,90,88,8.5,Al Ahly,40,10,15
Mohamed Elneny,MF,68,78,92,86,8.8,Arsenal,38,2,8
Emam Ashour,MF,85,72,88,90,8.8,Al Ahly,35,8,12
Hamdi Fathi,MF,72,82,85,94,8.5,Al Ahly,45,5,10
Mostafa Fathi,MF,82,65,86,85,8.0,Pyramids,32,7,9
Marwan Attia,MF,62,88,82,95,8.8,Al Ahly,30,2,5
Mohamed Salah,FW,98,48,90,87,9.8,Liverpool,42,28,18
