Name,Position,Attack,Defense,Passing,Stamina,Consistency,Club,Matches_Last_5Y,Goals_Last_5Y,Assists_Last_5Y,FIFA_Ranking_Contribution,Injury_Risk,Fitness_Percent
Edouard Mendy,GK,10,93,74,90,9.2,Al Ahli,54,0,0,9.2,0,100
Youssouf Sabaly,DF,72,84,80,92,8.6,Real Betis,45,5,11,8.6,0,100
Abdou Diallo,DF,64,90,82,92,9.0,RB Leipzig,48,5,6,9.0,0,100
Ismail Jakobs,DF,77,82,84,94,8.7,Monaco,42,6,10,8.7,0,100
Krepin Diatta,MF,87,72,86,90,8.8,Monaco,45,11,14,8.8,0,100
Pape Matar Sarr,MF,82,80,88,96,9.0,Tottenham,44,10,12,9.2,0,100
Pape Gueye,MF,77,84,90,92,8.6,Villarreal,42,8,11,8.6,0,100
Ismaila Sarr,FW,92,52,82,94,9.0,Crystal Palace,54,21,16,9.0,0,100
Iliman Ndiaye,FW,90,54,88,92,9.0,Everton,38,16,13,9.0,0,100
Sadio Mane,FW,96,57,90,88,9.6,Al Nassr,52,25,18,9.6,0,100
Nicolas Jackson,FW,90,50,78,92,8.8,Chelsea,42,19,10,9.0,0,100
